,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,10773.325746363998,13621.207942846235,13576.336023366151,22332.445416609815,12020.84647227788,6539.49736779963,14501.956427723719,18516.104059363515,25482.475108428687,21772.69120834075,18034.497817534495,8034.607408903898
1,11029.988647220662,0.0,23491.49962294129,22015.928673342416,25944.305597822906,1680.9002922328798,13876.410257571079,16437.877840343474,24001.76354896963,32780.0478748748,27258.350697946866,27314.744614657404,14505.80956150927
2,12942.414567880069,22211.628541049795,0.0,11799.180730038304,27023.20778076803,23459.149266963672,11396.644734520767,21316.759551425777,23446.592226200835,21321.489904608523,25887.011335628056,9334.421368761889,15762.557553486611
3,13825.853127332157,21061.377139118595,9873.951622286742,0.0,17578.82838187376,22438.2714187992,9423.00915901622,11995.933861695112,14002.212827306555,14510.730736785843,16442.631936733786,10415.485710689747,17919.327196516217
4,20413.276040524433,24652.076825397566,24987.050120192907,17477.6936965848,0.0,26204.481783694984,19376.212070897684,9086.053982916552,7038.164730248926,12943.238811930903,3809.5742273236892,25571.03794541101,26801.531232776226
5,11548.298172553774,2837.94498062849,23533.287197757632,22576.423018455233,26922.711772738596,0.0,14394.719782904192,17041.041863746592,24604.927572372748,33340.54221998762,27861.51472134998,27875.238959770224,13563.56411249392
6,6348.2123399734255,13195.809797749278,10546.234190966567,9293.85802613269,20276.624893360095,14443.330523663162,0.0,12787.167762562092,16155.798349866762,21316.79515596229,19412.385498844,14600.93704864464,10278.75444813575
7,13788.996647439943,15901.98020535354,19550.272028903768,12040.91560529565,9983.605351330614,17199.964280495344,13294.139252218714,0.0,8013.373792003759,17800.35356032041,11269.960940981002,21217.803686227417,20183.255206974023
8,18119.903846318917,23782.017566173065,22107.25367010859,14432.924387645804,5661.538928326396,25080.001641314862,16702.5555437125,8285.04811867526,0.0,10956.419631975235,4525.342483186423,21256.403126969595,24514.58590850775
9,25389.604916669876,32021.581208960477,20584.683026639734,14562.836335686949,12249.324679495507,33398.475488641074,21347.560490123982,17812.294212695106,10919.183362447402,0.0,10383.058366867612,18007.08384880261,30624.751228872898
10,21473.23003047826,26995.071609879185,24132.320827996973,16453.514027907353,2345.6266912616084,28433.32782547421,20055.88172787184,11429.04876739817,4570.968470562414,11146.510202785952,0.0,23008.837315310826,27867.912092667095
11,19786.67290931922,28452.484315969585,10768.55212977367,10934.206438576073,25525.525880886347,29829.37859565019,16364.932540771522,22073.400389834827,22326.012338486984,19450.98607747004,24389.329435746375,0.0,23880.14697850328
12,8083.921944664949,14888.383927724319,14895.831018604344,17983.15936330524,27860.098690437873,13711.28704536337,10593.480675174926,20047.61521697514,23854.261973513276,30657.400058511776,27110.84912249051,22441.3211574736,0.0
